ts,o,h,l,c,oi,vix,oi_change,ema_20,dist_from_ema,rsi,std_20,bb_upper,bb_lower,bb_width,oi_ma,oi_slope,price_change,sentiment_score,future_high,future_low,target
2026-01-29 11:15:00+05:30,25257.95,25296.9,25257.2,25278.4,17637100,13.61,-78585.0,25244.471779509306,0.0013439861521774852,57.897733743309544,46.59290351407189,25337.65758653745,25151.28597248116,0.007382670379641937,17664088.0,-0.001527845649319682,0.0008155896396362383,0,25296.9,25240.0,0
2026-01-29 11:30:00+05:30,25277.4,25295.2,25249.0,25269.45,17630795,13.59,-6305.0,25246.850657651274,0.0008951351063614009,54.064944299596924,46.8031585610704,25340.456974773413,25153.244340529134,0.007415286634475437,17695704.0,-0.0036680654242408216,-0.00035405721881132113,0,25295.2,25240.0,0
2026-01-29 11:45:00+05:30,25270.2,25274.9,25240.0,25258.8,17619485,13.59,-11310.0,25247.988690255912,0.0004282047919428847,50.87108013937281,46.40233376592421,25340.79335778776,25155.184022724065,0.007351450340887071,17669210.0,-0.0028142175003862653,-0.0004214575307338597,0,25309.05,25240.0,0
2026-01-29 12:00:00+05:30,25259.1,25287.95,25255.65,25280.75,17597060,13.55,-22425.0,25251.108814993444,0.001173856768973087,44.585987261146514,46.967023425491455,25345.042861844428,25157.17476814246,0.007439993826743007,17640025.0,-0.002435654144481088,0.000869004069868673,0,25340.85,25255.65,0
2026-01-29 12:15:00+05:30,25280.4,25290.15,25262.05,25284.95,17570540,13.5,-26520.0,25254.33178499407,0.0012123945811199509,43.863261943986856,46.612027191751295,25347.555839377572,25161.107730610565,0.007382816950151598,17610996.0,-0.0022972011350181443,0.00016613431167988857,0,25368.15,25262.05,1
2026-01-29 12:30:00+05:30,25285.85,25309.05,25281.25,25282.5,17621760,13.48,51220.0,25257.01447213749,0.0010090475218528117,40.588657573582594,46.78139784345776,25350.577267824403,25163.451676450575,0.007408856323072433,17607928.0,0.0007855552339832376,-9.689558413206178e-05,-1,25368.15,25276.45,1
2026-01-29 12:45:00+05:30,25282.3,25340.85,25276.45,25321.8,17638595,13.34,16835.0,25263.18452241011,0.002320193542421169,57.88208907401462,47.70603314741129,25358.59658870493,25167.772456115286,0.007553447286915534,17609488.0,0.0016529157463294787,0.0015544348857905455,1,25404.1,25276.45,0
2026-01-29 13:00:00+05:30,25322.25,25368.15,25321.0,25353.65,17602000,13.37,-36595.0,25271.80028218057,0.0032387766959817016,75.3412515511423,51.54608636661889,25374.89245491381,25168.708109447332,0.00815867263765378,17605991.0,-0.0002266842008495858,0.0012578094764195136,0,25431.9,25321.0,1
2026-01-29 13:15:00+05:30,25353.45,25356.4,25328.3,25336.75,17644055,13.42,42055.0,25277.985969591944,0.002324711726588738,77.81032588795206,53.694649039775506,25385.375267671494,25170.596671512394,0.008496665692332725,17615390.0,0.0016272702449392263,-0.0006665706910050639,-1,25437.3,25328.3,1
2026-01-29 13:30:00+05:30,25337.15,25404.1,25333.45,25402.5,17646135,13.37,2080.0,25289.844448678425,0.004454576679986752,80.58003525075986,60.374160721895905,25410.592770122217,25169.096127234632,0.009549154933620201,17630509.0,0.0008863045304023838,0.0025950447472544713,1,25437.3,25333.45,0
2026-01-29 13:45:00+05:30,25403.45,25431.9,25400.05,25430.9,17644835,13.39,-1300.0,25303.27831070905,0.005043681997401007,86.61405137728184,68.83598431649685,25440.950279342043,25165.60634207606,0.010881749545846468,17635124.0,0.0005506624166634723,0.0011180001968311704,0,25454.7,25383.65,0
2026-01-29 14:00:00+05:30,25430.05,25437.3,25383.65,25412.9,17700930,13.41,56095.0,25313.718471593904,0.003918093997821592,83.09085510688757,73.56424309283152,25460.846957779566,25166.58998540824,0.011624407243903265,17647591.0,0.0030224521862502367,-0.0007078003531136856,-1,25458.15,25383.65,0
